taxonomy_id,api_status,http_status,bytes,error
1117,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/1117 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
1224,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/1224 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
1236,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/1236 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
1760,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/1760 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
2433,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/2433 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
28211,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/28211 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
84992,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/84992 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
89374,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/89374 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
167375,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/167375 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
200643,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/200643 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
200795,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/200795 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
543070,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/543070 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
1647988,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/1647988 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
1738654,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/1738654 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
1853229,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/1853229 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
1913989,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/1913989 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
2006849,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/2006849 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
2026806,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/2026806 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
2780488,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/2780488 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
2910168,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/2910168 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
2913493,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/2913493 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
3098102,request_failed,,,"Request failed after 1 attempts: GET https://metatraits.embl.de/api/v1/traits/taxonomy/3098102 (HTTPSConnectionPool(host='metatraits.embl.de', port=443): Read timed out. (read timeout=20))"
